molecule_chembl_id,SMILES,target_chembl_id
CHEMBL395280,C/C=C1\[C@H]2C=C(C)C[C@]1(N)c1ccc(=O)[nH]c1C2,CHEMBL220
CHEMBL18794,CCNCCCNCCCCNCCCNCC,
CHEMBL444236,BrC1C(Br)C(Br)C(Br)C(Br)C1Br,
CHEMBL158507,CCCn1c(=O)c2nc(-c3ccccc3)[nH]c2n(CCC)c1=O,
CHEMBL171623,OCCCCO,
CHEMBL3306352,Cl/C=C\C[N+]12CN3CN(CN(C3)C1)C2,
CHEMBL4303426,c1ccc(CC(c2ccccc2)N2CCCCC2)cc1,
CHEMBL4303224,Cc1ccc(Cl)c(OCC(O)CNC(C)C)c1,
CHEMBL452887,CCn1c(=O)[nH]c2ccccc21,
CHEMBL575239,CC(=O)N1CCN(C)CC1,
CHEMBL336961,O=C1Cc2c([nH]c3ccc(Br)cc23)-c2ncccc2N1,
CHEMBL84844,OC[C@H]1NC[C@@H](O)[C@@H](O)[C@@H]1O,
CHEMBL12221,CCN1CCCC1=O,
CHEMBL1235338,CCCCCCCCCCCCCCCC=O,
CHEMBL706,CCCCCCCCCCCCCCCCO,
CHEMBL264406,CC(C)(C)n1nc(-c2cccc3ccccc23)c2c(N)ncnc21,
CHEMBL1951714,CCCCCCCCCCCCCCCCCCCCCCCCCCCCO,
CHEMBL13791,N=C(N)NC(=N)Nc1ccccc1,
CHEMBL1398474,CCN(CC)CCCCN1c2ccccc2Oc2ccc(Cl)cc21,
CHEMBL393912,CC(=O)O[C@@]12CO[C@@H]1C[C@H](O)[C@@]1(C)C(=O)[C@H](O)C3=C(C)[C@@H](O)C[C@@](O)([C@@H](OC(=O)c4ccccc4)[C@H]21)C3(C)C,
CHEMBL273862,CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3cc(O)ccc3nc2-1,
CHEMBL1568415,CCc1ccc(/C=C2/SC(=S)NC2=O)cc1,
CHEMBL107251,CC(=N)NCc1cccc(CN)c1,
CHEMBL4303423,C[C@]12CC[C@@H](O)C[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)C(c3ccccc3)=CC[C@@H]12,
CHEMBL1395,C[C@]12CCC(=O)C=C1CC[C@@H]1[C@@H]2CC[C@@]2(C)[C@H]1CC[C@]2(C)O,CHEMBL1871
CHEMBL1200848,CCCCCC(=O)O[C@]1(C(C)=O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@@]21C,CHEMBL208
CHEMBL2092846,C[C@@H](N)[C@@H](O)c1ccccc1,
CHEMBL251997,C[C@@]1(O)[C@H](O)[C@@H](CO)O[C@H]1n1cnc2c(NC3CCCC3)nc(Cl)nc21,
CHEMBL1356094,OCCNCCCOc1cccc(Cl)c1Cl,
CHEMBL4303395,CC1(C)[C@@H]2C[C@H]1[C@@](C)(O)[C@@H](O)C2,
CHEMBL273386,O=[N+]([O-])c1ccc(O)c([N+](=O)[O-])c1,
CHEMBL4303433,OCc1ccc(CO)o1,
CHEMBL4303278,O=C(O)c1ccccc1NC(=O)C12CC3CC(CC(C3)C1)C2,
CHEMBL4303207,O=c1[nH]c(CCl)nc2sc3c(c12)CCCC3,
CHEMBL169233,NCCOB(c1ccccc1)c1ccccc1,
CHEMBL404505,c1ccc2oc(C3=NCCN3)cc2c1,
CHEMBL90882,CN1CCN(C2=Cc3ccccc3Oc3ccc(Cl)cc32)CC1,
CHEMBL71492,O=C1Nc2ccccc2C2=NC(CN3CCN(c4ccccc4)CC3)CN12,
CHEMBL37081,N#C/C(=C\c1ccc(O)c(O)c1)C(=O)OCCc1cccs1,
CHEMBL24909,c1ccc2sc(N3CCN(Cc4ccc5c(c4)OCO5)CC3)nc2c1,
CHEMBL6705,Nc1ccccc1S(N)(=O)=O,
CHEMBL284969,OC[C@H]1O[C@@H](n2cnc3c(NC4CCCC4)nc(Cl)nc32)[C@H](O)[C@@H]1O,
CHEMBL285819,Nc1nc(Cl)nc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O,
CHEMBL3352946,N#Cc1ncccn1,
CHEMBL2074932,O=CC[C@@H](O)[C@H](O)[C@H](O)CO,
CHEMBL4303266,CCOc1ccccc1C(=O)O,
CHEMBL1451179,CCCC(O)C(CC)CO,
CHEMBL1234222,OC[C@H]1O[C@@H](O)[C@@H](F)[C@@H](O)[C@@H]1O,
CHEMBL569170,NS(=O)(=O)[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,
CHEMBL173562,O=C(OCCO)c1ccccc1O,
CHEMBL491,CC(C)(O)C(=O)Nc1ccc([N+](=O)[O-])c(C(F)(F)F)c1,
CHEMBL1256573,NCC(O)(CS(=O)(=O)O)c1ccc(Cl)cc1,
CHEMBL1233598,N=C1N[C@H]2[C@H](CS[C@H]2CCCCC(=O)O)N1,
CHEMBL1681,O=C(O)CNC(=O)c1ccccc1I,
CHEMBL289233,COc1ccc2[nH]c(I)c(CCNC(C)=O)c2c1,
CHEMBL299613,COc1cc2c(cc1O)CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12,
CHEMBL266591,Cc1[nH]c2ccc(O)cc2c1CCN,
CHEMBL4303614,Cc1ccc([N+](=O)[O-])cc1O,
CHEMBL293391,Cc1ncc[nH]1,
CHEMBL1572050,CCCCCCCCCCC(CO)CCCCCCCC,
CHEMBL1686,O=C(O)CCC(=O)C(=O)O,
CHEMBL15060,COc1ccc2[nH]c(-c3ccccc3)c(CCNC(C)=O)c2c1,
CHEMBL32813,NCCc1ccccn1,
CHEMBL345768,O=c1cc[nH]c(=S)[nH]1,
CHEMBL224128,CC(C)(O)CC[C@@H](O)[C@](C)(O)[C@H]1CC[C@@]2(O)C3=CC(=O)[C@@H]4C[C@@H](O)[C@@H](O)C[C@]4(C)[C@H]3CC[C@]12C,
CHEMBL137648,O=C(CCCN1CCC2(CC1)C(=O)N(Cc1cccc(F)c1)CN2c1ccccc1)c1ccc(F)cc1,
CHEMBL3334990,Clc1cccc(/C=N/N=C/c2cccc(Cl)c2)c1,
CHEMBL446452,c1ccc2c(Cc3c[nH]c4ccccc34)c[nH]c2c1,
CHEMBL1331443,N[C@@H](C(=O)O)c1ccc(C(=O)O)c(C(=O)O)c1,
CHEMBL596380,O=[N+]([O-])/C=C/c1ccc2c(c1)OCO2,
CHEMBL2104261,Cc1ccc(/C=C2/C(=O)C3(C)CCC2C3(C)C)cc1,
CHEMBL90769,C=CCN1CCN(c2nc3ccccc3nc2C#N)CC1,
CHEMBL540034,CN1C2CCC1CC(OC(c1ccccc1)c1ccc(Cl)cc1)C2.Cl,
